"","stock","species","broodyear","recruits","spawners"
"2808","Alastair","Sockeye",1960,25930.2045303406,7754.898063
"2809","Alastair","Sockeye",1961,37008.6259185911,29357.82838
"2810","Alastair","Sockeye",1962,48994.0935314597,22034.98892
"28111","Alastair","Sockeye",1963,34583.642470989,19941.16645
"28121","Alastair","Sockeye",1964,9980.49054872868,4209.801806
"28131","Alastair","Sockeye",1965,5854.80374933553,17503.91277
"28141","Alastair","Sockeye",1966,7893.79553904213,18611.75535
"28151","Alastair","Sockeye",1967,13430.399602275,27696.06451
"28161","Alastair","Sockeye",1968,11028.9111977332,33235.27741
"28171","Alastair","Sockeye",1969,4835.56747062706,6647.055483
"28181","Alastair","Sockeye",1970,5409.91922709217,4985.291612
"28191","Alastair","Sockeye",1971,15541.4927538191,2548.037935
"28201","Alastair","Sockeye",1972,26472.9962047905,8862.740643
"28211","Alastair","Sockeye",1973,30585.0285146548,8862.740643
"28221","Alastair","Sockeye",1974,39150.4794050137,3877.449031
"28231","Alastair","Sockeye",1975,30861.4893009415,1329.411097
"28241","Alastair","Sockeye",1976,11016.657522735,6647.055483
"28251","Alastair","Sockeye",1977,18403.9990523874,15509.79613
"28261","Alastair","Sockeye",1978,16895.245622568,19941.16645
"28271","Alastair","Sockeye",1979,13254.5119900832,19941.16645
"28281","Alastair","Sockeye",1980,22192.2516602304,33235.27741
"28291","Alastair","Sockeye",1981,25680.0834898016,1994.116645
"28301","Alastair","Sockeye",1982,19046.090226467,10524.50451
"28311","Alastair","Sockeye",1983,23807.0305905961,14401.95355
"28321","Alastair","Sockeye",1984,20876.2480126307,8862.740643
"28331","Alastair","Sockeye",1985,27294.5023564862,8862.740643
"28341","Alastair","Sockeye",1986,37726.058434514,23264.69419
"28351","Alastair","Sockeye",1987,31738.8947118014,11078.4258
"28361","Alastair","Sockeye",1988,25847.5256841296,14401.95355
"28371","Alastair","Sockeye",1989,27843.5369669653,16542.58795
"28381","Alastair","Sockeye",1990,40914.4067829583,11078.4258
"28391","Alastair","Sockeye",1991,53450.0788079119,24372.53677
"28401","Alastair","Sockeye",1992,45597.1966161651,17725.48129
"28411","Alastair","Sockeye",1993,20698.169541771,16617.63871
"28421","Alastair","Sockeye",1994,12668.4312121584,14401.95355
"28431","Alastair","Sockeye",1995,21554.4385561385,18833.32387
"28441","Alastair","Sockeye",1996,17916.3751851459,27696.06451
"28451","Alastair","Sockeye",1997,38263.8084200035,26588.22193
"28461","Alastair","Sockeye",1998,53417.072975739,20495.08774
"28471","Alastair","Sockeye",1999,19916.6395790997,5539.212902
"28481","Alastair","Sockeye",2000,15005.193159466,12062.5593
"28491","Alastair","Sockeye",2001,28767.935419017,19590.34963
"28501","Alastair","Sockeye",2002,28211.6072960154,4337.203702
"28511","Alastair","Sockeye",2003,15896.2290340909,64594.4029
"28521","Alastair","Sockeye",2004,54800.3247520627,15918.65598
"28531","Alastair","Sockeye",2005,72901.1227382758,13297.5911
"28541","Alastair","Sockeye",2006,52010.6237328598,11466.17071
"2855","Alastair","Sockeye",2007,40230.9972418201,35020.52599
"2856","Alastair","Sockeye",2008,25326.2838555465,983.2172841
"2857","Alastair","Sockeye",2009,19322.3972269548,29490.64218
"2858","Alastair","Sockeye",2010,48073.6463364508,79009.10232
"2859","Alastair","Sockeye",2011,51348.8363139839,44220.21991
"2860","Alastair","Sockeye",2012,12232.8017541638,36337.23664
"2861","Alastair","Sockeye",2013,4615.04085195307,30442.97686
"2923","Asitka","Sockeye",2003,344.066028809033,1067.350427
"2925","Asitka","Sockeye",2005,1289.9812125879,266.9769446
"2926","Asitka","Sockeye",2006,1896.36245263627,88
"2927","Asitka","Sockeye",2007,3143.74843400874,292.8205128
"2928","Asitka","Sockeye",2008,2342.27832118814,95.00674764
"2929","Asitka","Sockeye",2009,4046.0677858475,780.432553
"2930","Asitka","Sockeye",2010,3914.40544485254,1310.722689
"29311","Asitka","Sockeye",2011,1988.95998894443,1380.710059
"29321","Asitka","Sockeye",2012,1021.51946702171,2860
"29331","Asitka","Sockeye",2013,900.61760456883,550
"29341","Asitka","Sockeye",2014,1378.30126250043,4831.71143
"29471","Babine Early Wild","Sockeye",1960,74524.87957554,42484.86364
"29481","Babine Early Wild","Sockeye",1961,67885.06622016,133007.0186
"29491","Babine Early Wild","Sockeye",1962,165292.91040308,21586.8425
"29501","Babine Early Wild","Sockeye",1963,264639.45640182,77001.76097
"29511","Babine Early Wild","Sockeye",1964,83443.202641,68408.8136
"29521","Babine Early Wild","Sockeye",1965,139046.703476766,29888.49784
"29531","Babine Early Wild","Sockeye",1966,139909.688030723,31977.04506
"29541","Babine Early Wild","Sockeye",1967,127885.029636652,95241.71482
"29551","Babine Early Wild","Sockeye",1968,172461.988692827,62457.16289
"29561","Babine Early Wild","Sockeye",1969,351950.170162481,89904.93818
"29571","Babine Early Wild","Sockeye",1970,141685.917832574,82163.63349
"29581","Babine Early Wild","Sockeye",1971,111842.045334354,34049.06011
"29591","Babine Early Wild","Sockeye",1972,79172.6286090401,52692.14185
"29601","Babine Early Wild","Sockeye",1973,102299.0580639,140252.6508
"29611","Babine Early Wild","Sockeye",1974,25292.2484284545,109850.7509
"29621","Babine Early Wild","Sockeye",1975,139206.456432374,60352.60041
"29631","Babine Early Wild","Sockeye",1976,26268.0962513229,13335.83037
"29641","Babine Early Wild","Sockeye",1977,293903.291059826,54679.10412
"29651","Babine Early Wild","Sockeye",1978,71960.1541472454,32031.53105
"29661","Babine Early Wild","Sockeye",1979,36632.4375940135,42454.92924
"29671","Babine Early Wild","Sockeye",1980,133626.598516354,31679.46519
"29681","Babine Early Wild","Sockeye",1981,86474.4535118987,46466.07316
"29691","Babine Early Wild","Sockeye",1982,46970.6569234778,93630.30261
"29701","Babine Early Wild","Sockeye",1983,51688.7328578354,26965.08859
"29711","Babine Early Wild","Sockeye",1984,106017.712659032,26503.0687
"29721","Babine Early Wild","Sockeye",1985,43053.8125012318,75649.39542
"29731","Babine Early Wild","Sockeye",1986,104389.851724517,26864.92035
"29741","Babine Early Wild","Sockeye",1987,100331.768869018,38205.99781
"29751","Babine Early Wild","Sockeye",1988,96957.6431913756,42434.7788
"29761","Babine Early Wild","Sockeye",1989,58789.286141979,18412.34583
"29771","Babine Early Wild","Sockeye",1990,101996.560158614,21328.18518
"29781","Babine Early Wild","Sockeye",1991,174670.87756068,58719.05892
"29791","Babine Early Wild","Sockeye",1992,347211.707140399,52358.40232
"29801","Babine Early Wild","Sockeye",1993,142794.543734262,16646.26196
"2981","Babine Early Wild","Sockeye",1994,13436.422872492,25124.28503
"2982","Babine Early Wild","Sockeye",1995,91840.7745262958,79679.07233
"2983","Babine Early Wild","Sockeye",1996,620769.866018631,60908.54906
"2984","Babine Early Wild","Sockeye",1997,64716.3824609569,92244.94577
"2985","Babine Early Wild","Sockeye",1998,97562.0133888034,43130.46314
"2986","Babine Early Wild","Sockeye",1999,33970.5130387792,63692.09022
"2987","Babine Early Wild","Sockeye",2000,67729.3877036002,84557.61981
"2988","Babine Early Wild","Sockeye",2001,39012.0065818683,232802.4918
"2989","Babine Early Wild","Sockeye",2002,144328.314395418,29323.9913
"2990","Babine Early Wild","Sockeye",2003,17700.7246402654,55028.42071
"2991","Babine Early Wild","Sockeye",2004,65738.7009917914,39546.46709
"2992","Babine Early Wild","Sockeye",2005,17748.5184900368,25140.85209
"2993","Babine Early Wild","Sockeye",2006,70915.6631708107,40873.873
"2994","Babine Early Wild","Sockeye",2007,133279.928572143,52862.30583
"2995","Babine Early Wild","Sockeye",2008,19768.4250544179,28667.49528
"2996","Babine Early Wild","Sockeye",2009,7687.41399279743,20503.14886
"2997","Babine Early Wild","Sockeye",2010,64954.7402494252,20454.52714
"2998","Babine Early Wild","Sockeye",2011,93979.3831128888,64621.8148
"2999","Babine Early Wild","Sockeye",2012,45150.3816647957,60983.03607
"3000","Babine Early Wild","Sockeye",2013,2109.48613865443,8759.596648
"3001","Babine Early Wild","Sockeye",2014,22757.3743322174,20322
"3014","Babine Late Wild","Sockeye",1960,524068.8398744,112920.2955
"3015","Babine Late Wild","Sockeye",1961,767586.0832584,467456.7196
"3016","Babine Late Wild","Sockeye",1962,1052792.1627035,354596.5483
"3017","Babine Late Wild","Sockeye",1963,1510856.8643324,193635.9131
"3018","Babine Late Wild","Sockeye",1964,417759.6891714,396889.3866
"3019","Babine Late Wild","Sockeye",1965,671737.103679274,313241.8987
"3020","Babine Late Wild","Sockeye",1966,996080.284830882,243131.2517
"3021","Babine Late Wild","Sockeye",1967,1287707.71431799,296654.5216
"3022","Babine Late Wild","Sockeye",1968,566788.396999088,267415.4322
"3023","Babine Late Wild","Sockeye",1969,1232911.00363782,345341.7574
"3024","Babine Late Wild","Sockeye",1970,496420.975927488,327829.8049
"3025","Babine Late Wild","Sockeye",1971,517901.44656638,436875.6328
"3026","Babine Late Wild","Sockeye",1972,464333.742743769,309503.8948
"3027","Babine Late Wild","Sockeye",1973,438502.407967865,236140.2913
"3028","Babine Late Wild","Sockeye",1974,149087.369173249,291444.2836
"3029","Babine Late Wild","Sockeye",1975,1276433.28767193,118485.163
"3030","Babine Late Wild","Sockeye",1976,171433.815597306,163137.0625
"3031","Babine Late Wild","Sockeye",1977,764592.36509477,199710.9783
"3032","Babine Late Wild","Sockeye",1978,238360.83896572,57401.78244
"3033","Babine Late Wild","Sockeye",1979,266424.343727491,357449.2278
"3034","Babine Late Wild","Sockeye",1980,1342227.47452894,197030.5175
"3035","Babine Late Wild","Sockeye",1981,812390.940830835,113331.8857
"3036","Babine Late Wild","Sockeye",1982,374095.647453303,159594.8001
"3037","Babine Late Wild","Sockeye",1983,369108.145195386,103026.9894
"3038","Babine Late Wild","Sockeye",1984,774292.764214251,204447.1039
"3039","Babine Late Wild","Sockeye",1985,521979.166254833,623637.3576
"3040","Babine Late Wild","Sockeye",1986,1147840.09096516,167437.178
"3041","Babine Late Wild","Sockeye",1987,1414332.73764737,237400.0832
"3042","Babine Late Wild","Sockeye",1988,2134103.2562465,241974.29
"3043","Babine Late Wild","Sockeye",1989,1016505.93640563,132562.83
"3044","Babine Late Wild","Sockeye",1990,230703.457411918,198864.1975
"3045","Babine Late Wild","Sockeye",1991,357925.416663826,432582.0934
"3046","Babine Late Wild","Sockeye",1992,654993.260795495,582914.3116
"3047","Babine Late Wild","Sockeye",1993,312876.361427018,595377.2527
"3048","Babine Late Wild","Sockeye",1994,35176.6466213328,132299.3946
"3049","Babine Late Wild","Sockeye",1995,230959.566817507,69505.93146
"3050","Babine Late Wild","Sockeye",1996,1923514.69097745,143305.4368
"3051","Babine Late Wild","Sockeye",1997,257077.303741157,129974.7626
"3052","Babine Late Wild","Sockeye",1998,289994.90058306,97880.26042
"3053","Babine Late Wild","Sockeye",1999,149055.615760461,155039.5077
"3054","Babine Late Wild","Sockeye",2000,474734.157159888,185019.5173
"3055","Babine Late Wild","Sockeye",2001,198450.204450011,617400.8519
"3056","Babine Late Wild","Sockeye",2002,487734.9113521,130726.3807
"3057","Babine Late Wild","Sockeye",2003,68338.376212519,99284.4758
"3058","Babine Late Wild","Sockeye",2004,290834.924280735,249231.3465
"3059","Babine Late Wild","Sockeye",2005,74526.1129574715,163177.6669
"3060","Babine Late Wild","Sockeye",2006,213908.356083491,137660.391
"3061","Babine Late Wild","Sockeye",2007,305994.037277914,100762.0793
"3062","Babine Late Wild","Sockeye",2008,48496.6699846049,93158.20872
"3063","Babine Late Wild","Sockeye",2009,49450.9957400494,93791.00011
"3064","Babine Late Wild","Sockeye",2010,326122.514984688,74125.69651
"3065","Babine Late Wild","Sockeye",2011,374443.601199616,152998.1381
"3066","Babine Late Wild","Sockeye",2012,172292.984127757,112217.6013
"3067","Babine Late Wild","Sockeye",2013,18592.42500342,39601.50154
"3068","Babine Late Wild","Sockeye",2014,383220.472907902,133779
"3086","Babine Mid Wild","Sockeye",1960,45281.90433876,12298.25
"3087","Babine Mid Wild","Sockeye",1961,33425.84291317,33656.88381
"3088","Babine Mid Wild","Sockeye",1962,61681.41426708,16827.78356
"3089","Babine Mid Wild","Sockeye",1963,174897.74789288,56280.35686
"3090","Babine Mid Wild","Sockeye",1964,45332.36991638,35959.77664
"3091","Babine Mid Wild","Sockeye",1965,45937.0132922935,11093.98391
"3092","Babine Mid Wild","Sockeye",1966,25047.0707280442,15195.70323
"3093","Babine Mid Wild","Sockeye",1967,28810.5843946709,24200.7636
"3094","Babine Mid Wild","Sockeye",1968,45993.3577745593,55410.40488
"3095","Babine Mid Wild","Sockeye",1969,123956.865706737,32575.30443
"3096","Babine Mid Wild","Sockeye",1970,58601.2957340761,7422.56162
"3097","Babine Mid Wild","Sockeye",1971,57951.8964365224,8381.307104
"3098","Babine Mid Wild","Sockeye",1972,30902.2530022507,10276.9633
"3099","Babine Mid Wild","Sockeye",1973,27070.1789542773,32178.70291
"3100","Babine Mid Wild","Sockeye",1974,8311.32186469899,38188.61054
"3101","Babine Mid Wild","Sockeye",1975,66656.0399597289,28685.88157
"3102","Babine Mid Wild","Sockeye",1976,8743.60414752988,8021.552103
"3103","Babine Mid Wild","Sockeye",1977,30813.1168457597,15573.16257
"3104","Babine Mid Wild","Sockeye",1978,13419.0385994248,3930.731507
"3105","Babine Mid Wild","Sockeye",1979,12226.0169169749,21765.48792
"3106","Babine Mid Wild","Sockeye",1980,38325.4455969774,11165.6623
"3107","Babine Mid Wild","Sockeye",1981,19269.1892323762,7177.686097
"3108","Babine Mid Wild","Sockeye",1982,15759.6790008463,4826.942237
"3109","Babine Mid Wild","Sockeye",1983,27280.2190432937,8903.566987
"3110","Babine Mid Wild","Sockeye",1984,59269.6800919291,8065.072405
"3111","Babine Mid Wild","Sockeye",1985,18979.1445152139,17228.89198
"3112","Babine Mid Wild","Sockeye",1986,52409.7555677352,3873.546655
"3113","Babine Mid Wild","Sockeye",1987,29978.2927024518,15785.56397
"3114","Babine Mid Wild","Sockeye",1988,55352.7248952091,23458.57621
"3115","Babine Mid Wild","Sockeye",1989,35009.3640222395,7701.269171
"3116","Babine Mid Wild","Sockeye",1990,14151.7488846961,7395.262344
"3117","Babine Mid Wild","Sockeye",1991,22131.0805503469,24980.09272
"3118","Babine Mid Wild","Sockeye",1992,108874.275222336,8426.286088
"3119","Babine Mid Wild","Sockeye",1993,58462.3731601302,21962.13029
"3120","Babine Mid Wild","Sockeye",1994,5183.22748201125,7559.965404
"3121","Babine Mid Wild","Sockeye",1995,31123.1322890001,6555.041209
"3122","Babine Mid Wild","Sockeye",1996,151257.318197574,7975.259094
"3123","Babine Mid Wild","Sockeye",1997,33041.568294405,34659.93668
"3124","Babine Mid Wild","Sockeye",1998,122345.904451808,16544.92144
"3125","Babine Mid Wild","Sockeye",1999,51025.6452484299,22945.84713
"3126","Babine Mid Wild","Sockeye",2000,94463.9592022111,19982.10787
"3127","Babine Mid Wild","Sockeye",2001,30927.6914052872,47818.30128
"3128","Babine Mid Wild","Sockeye",2002,49282.8247578525,24572.62796
"3129","Babine Mid Wild","Sockeye",2003,7728.28644912214,83150.74848
"3130","Babine Mid Wild","Sockeye",2004,41565.6300348865,51747.18636
"3131","Babine Mid Wild","Sockeye",2005,9266.05242909964,31371.48103
"3132","Babine Mid Wild","Sockeye",2006,44746.8995439649,12514.581
"3133","Babine Mid Wild","Sockeye",2007,148614.272904769,12595.25991
"3134","Babine Mid Wild","Sockeye",2008,24611.6928164225,12743.941
"3135","Babine Mid Wild","Sockeye",2009,6566.15867976101,18341.09602
"3136","Babine Mid Wild","Sockeye",2010,73715.1371764065,6065.421348
"3137","Babine Mid Wild","Sockeye",2011,105114.321356351,43110.49213
"3138","Babine Mid Wild","Sockeye",2012,39250.399188982,82348.20759
"3139","Babine Mid Wild","Sockeye",2013,1322.56660000685,7959.90181
"3140","Babine Mid Wild","Sockeye",2014,16806.8535641998,14701
"3159","Bear","Sockeye",1960,8827.22035264,3799.9763376
"3160","Bear","Sockeye",1961,4773.635505952,3267.724395
"3161","Bear","Sockeye",1962,6125.906663578,4999.940844
"3162","Bear","Sockeye",1963,6319.89494475,9934.929995
"3166","Bear","Sockeye",1967,15853.857065899,2299.940844
"3167","Bear","Sockeye",1968,39154.53544586,2399.940844
"3174","Bear","Sockeye",1975,5089.23284041,2247.1260135
"3175","Bear","Sockeye",1976,3262.970179795,200
"3180","Bear","Sockeye",1981,4561.20988692,1008.1208557
"3183","Bear","Sockeye",1984,8449.532137335,600
"3184","Bear","Sockeye",1985,5602.213489301,2637.1074517
"3185","Bear","Sockeye",1986,14310.756511605,2000
"3186","Bear","Sockeye",1987,14285.776480799,11185.537259
"3187","Bear","Sockeye",1988,13112.259863635,6955.6611776
"3191","Bear","Sockeye",1992,14962.974405955,4837.1074517
"3192","Bear","Sockeye",1993,9141.459981323,5318.5537259
"3194","Bear","Sockeye",1995,9595.065548323,10548.429807
"3195","Bear","Sockeye",1996,16305.87716891,6411.322355
"3196","Bear","Sockeye",1997,6620.400085695,3631.85537259
"3197","Bear","Sockeye",1998,20989.560043782,3727.4214903
"3198","Bear","Sockeye",1999,16802.486769863,9388.529095
"3199","Bear","Sockeye",2000,6830.016980505,3595.282412
"3200","Bear","Sockeye",2001,3765.65449469,10472.197758
"3201","Bear","Sockeye",2002,1835.603785805,316.3833635
"3202","Bear","Sockeye",2003,8255.05094179,19509.687646
"3203","Bear","Sockeye",2004,10488.34181871,8047.364788
"3204","Bear","Sockeye",2005,9075.38652553,1198.0341931
"3205","Bear","Sockeye",2006,16805.27708496,2166.030062
"3206","Bear","Sockeye",2007,14746.63709109,547.5295975
"3207","Bear","Sockeye",2008,11227.452017345,6624.862514
"3208","Bear","Sockeye",2009,20240.19476801,8721.258601
"3209","Bear","Sockeye",2010,16860.454576405,6045.669026
"3210","Bear","Sockeye",2011,23191.27318476,13477.724471
"3211","Bear","Sockeye",2012,18301.80030334,8600
"3212","Bear","Sockeye",2013,19869.88769746,7734.901707
"3213","Bear","Sockeye",2014,13082.45986004,17574.172616
"3233","Damdochax","Sockeye",1982,19734.7578653529,5000
"3234","Damdochax","Sockeye",1983,8173.50371901019,500
"3235","Damdochax","Sockeye",1984,23264.42173297,1000
"3236","Damdochax","Sockeye",1985,20474.1140653562,15000
"3237","Damdochax","Sockeye",1986,14144.1614521016,10000
"3238","Damdochax","Sockeye",1987,17878.9651161154,2000
"3239","Damdochax","Sockeye",1988,35217.5590133761,2000
"3240","Damdochax","Sockeye",1989,23127.3004693383,5000
"3241","Damdochax","Sockeye",1990,8731.98206269881,4000
"3242","Damdochax","Sockeye",1991,9228.6469413723,3000
"3243","Damdochax","Sockeye",1992,12977.260993454,4500
"3244","Damdochax","Sockeye",1993,19996.7409880649,8150
"3245","Damdochax","Sockeye",1994,11629.7856484897,3875
"3246","Damdochax","Sockeye",1995,3252.25509501214,1035
"3247","Damdochax","Sockeye",1996,5074.45406645733,1542.5
"3248","Damdochax","Sockeye",1997,3640.66877319194,3000
"3249","Damdochax","Sockeye",1998,4415.83781356838,8190.104167
"3250","Damdochax","Sockeye",1999,3694.83419883049,1200
"3251","Damdochax","Sockeye",2000,1928.56773055581,500
"3252","Damdochax","Sockeye",2001,3842.98648220413,1750
"3253","Damdochax","Sockeye",2002,7680.26958571345,462.5
"3254","Damdochax","Sockeye",2003,5710.20956093629,1567.5
"3255","Damdochax","Sockeye",2004,4014.98438013416,586
"3256","Damdochax","Sockeye",2005,3804.92276921331,505
"3257","Damdochax","Sockeye",2006,5192.18966551973,1701
"3258","Damdochax","Sockeye",2007,4949.17752836001,2067
"3259","Damdochax","Sockeye",2008,5153.23944013045,2000
"3260","Damdochax","Sockeye",2009,7701.48209622322,1716
"3261","Damdochax","Sockeye",2010,9455.54939685987,1970
"3278","Fulton","Sockeye",1960,280016.2202935,44720.90909
"3279","Fulton","Sockeye",1961,307233.2927703,218146.4691
"3280","Fulton","Sockeye",1962,365948.8343751,99535.8732
"3281","Fulton","Sockeye",1963,608194.6785692,177106.0181
"3282","Fulton","Sockeye",1964,140091.4799128,186458.1011
"3283","Fulton","Sockeye",1965,262446.265088837,176198.568
"3284","Fulton","Sockeye",1966,559130.354328736,58581
"3285","Fulton","Sockeye",1967,797468.913756792,135976
"3286","Fulton","Sockeye",1968,493449.529627559,125287
"3287","Fulton","Sockeye",1969,815588.055213771,105359
"3288","Fulton","Sockeye",1970,446958.413403708,195558
"3289","Fulton","Sockeye",1971,1114704.22580624,282801
"3290","Fulton","Sockeye",1972,1126188.39180238,209478
"3291","Fulton","Sockeye",1973,1245703.43850993,237309
"3292","Fulton","Sockeye",1974,311120.26637716,139211
"3293","Fulton","Sockeye",1975,1681823.0302664,368434.3631
"3294","Fulton","Sockeye",1976,360206.431783575,288071
"3295","Fulton","Sockeye",1977,3529548.44839157,502031
"3296","Fulton","Sockeye",1978,1041998.47452695,143303
"3297","Fulton","Sockeye",1979,733509.742632001,416887
"3298","Fulton","Sockeye",1980,2105228.92234016,121208
"3299","Fulton","Sockeye",1981,1134273.45401182,441066
"3300","Fulton","Sockeye",1982,516406.37032347,319421.3838
"3301","Fulton","Sockeye",1983,808450.041052151,314944.3587
"3302","Fulton","Sockeye",1984,2537992.13605624,266910.7921
"3303","Fulton","Sockeye",1985,1513719.57112315,301691.3892
"3304","Fulton","Sockeye",1986,952286.909083949,165481.6594
"3305","Fulton","Sockeye",1987,712191.582916644,150463.0274
"3306","Fulton","Sockeye",1988,1354627.02327438,322949.6462
"3307","Fulton","Sockeye",1989,1645498.37808486,328463.4303
"3308","Fulton","Sockeye",1990,1772978.95072919,331533.344
"3309","Fulton","Sockeye",1991,3525254.37641494,104022.9016
"3310","Fulton","Sockeye",1992,4378681.76859433,318209.7075
"3311","Fulton","Sockeye",1993,927002.087581955,260339.4349
"3312","Fulton","Sockeye",1994,58054.7290703703,428140.579
"3313","Fulton","Sockeye",1995,604664.455986072,393979.993
"3314","Fulton","Sockeye",1996,5285918.26440764,372336.6725
"3315","Fulton","Sockeye",1997,509859.485153864,320215.5024
"3316","Fulton","Sockeye",1998,1164686.94903392,157127
"3317","Fulton","Sockeye",1999,433913.777260537,203003.6091
"3318","Fulton","Sockeye",2000,847300.956674825,586507.5059
"3319","Fulton","Sockeye",2001,742053.70651804,400411.2576
"3320","Fulton","Sockeye",2002,2659710.6679856,290370.0414
"3321","Fulton","Sockeye",2003,380787.468813486,460679.8674
"3322","Fulton","Sockeye",2004,1426231.77096095,445304.0577
"3323","Fulton","Sockeye",2005,307573.926446271,327460
"3324","Fulton","Sockeye",2006,867653.351510238,461925.1378
"3325","Fulton","Sockeye",2007,1521601.47234836,458005.8579
"3326","Fulton","Sockeye",2008,268344.800152655,357800.6465
"3327","Fulton","Sockeye",2009,465066.183125121,317178.4302
"3328","Fulton","Sockeye",2010,3123600.95672061,321952
"3329","Fulton","Sockeye",2011,1682656.69028664,347869.3378
"3330","Fulton","Sockeye",2012,765009.975905477,337324.0517
"3331","Fulton","Sockeye",2013,82515.3299746659,220714
"3332","Fulton","Sockeye",2014,1408232.05454316,425299.785
"3347","Johnston","Sockeye",1967,24116.556446436,1500
"3348","Johnston","Sockeye",1968,21159.7481766859,1500
"3349","Johnston","Sockeye",1969,9878.50010679882,800
"3350","Johnston","Sockeye",1970,4165.49627496155,7000
"3351","Johnston","Sockeye",1971,7646.57564427995,10000
"3352","Johnston","Sockeye",1972,6612.26154675113,15000
"3353","Johnston","Sockeye",1973,2805.52461660567,6000
"3362","Johnston","Sockeye",1982,1752.48327926288,1007.272727
"3377","Johnston","Sockeye",1997,11671.0901571471,8185.328185
"3413","Kitsumkalum","Sockeye",1960,4178.01265682431,860.4176025
"3414","Kitsumkalum","Sockeye",1961,4487.92074440988,2294.44694
"3415","Kitsumkalum","Sockeye",1962,6199.29910754745,2294.44694
"3416","Kitsumkalum","Sockeye",1963,6033.84526054819,2072.555981
"3417","Kitsumkalum","Sockeye",1964,4564.65387486011,1554.416986
"3418","Kitsumkalum","Sockeye",1965,3887.70362498372,3059.262587
"3419","Kitsumkalum","Sockeye",1966,4124.53328097014,1625.233249
"3420","Kitsumkalum","Sockeye",1967,9021.6921841326,2963.660631
"3421","Kitsumkalum","Sockeye",1968,14049.3665069957,1816.437161
"3422","Kitsumkalum","Sockeye",1969,16576.2394833747,2294.44694
"3423","Kitsumkalum","Sockeye",1970,11871.730366953,1816.437161
"3424","Kitsumkalum","Sockeye",1971,5797.02082085187,2294.44694
"3425","Kitsumkalum","Sockeye",1972,9082.48561177243,6500.932997
"3426","Kitsumkalum","Sockeye",1973,8561.07403380291,6500.932997
"3427","Kitsumkalum","Sockeye",1974,3646.75975196034,6500.932997
"3428","Kitsumkalum","Sockeye",1975,1982.32904492011,3632.874322
"3429","Kitsumkalum","Sockeye",1976,1678.59533302342,1816.437161
"3430","Kitsumkalum","Sockeye",1977,2092.65040139846,6500.932997
"3431","Kitsumkalum","Sockeye",1978,2058.92963607788,1816.437161
"3432","Kitsumkalum","Sockeye",1979,1894.44114554493,803.056429
"3433","Kitsumkalum","Sockeye",1980,3267.86857465869,860.4176025
"3434","Kitsumkalum","Sockeye",1981,4300.99298653201,669.2136909
"3435","Kitsumkalum","Sockeye",1982,5674.67974731934,1051.621514
"3436","Kitsumkalum","Sockeye",1983,6466.44173120452,841.2972114
"3437","Kitsumkalum","Sockeye",1984,7004.75525148782,1089.101826
"3438","Kitsumkalum","Sockeye",1985,11005.9914734957,2178.203653
"3439","Kitsumkalum","Sockeye",1986,15162.3256434005,2178.203653
"3440","Kitsumkalum","Sockeye",1987,30916.7878252647,4356.407306
"3441","Kitsumkalum","Sockeye",1988,38583.6966127024,2613.844383
"3442","Kitsumkalum","Sockeye",1989,44645.962889756,3920.766575
"3443","Kitsumkalum","Sockeye",1990,53306.1387610206,6534.610959
"3444","Kitsumkalum","Sockeye",1991,39781.6155468466,6534.610959
"3445","Kitsumkalum","Sockeye",1992,36633.0553164256,17425.62922
"3446","Kitsumkalum","Sockeye",1993,35655.0060236812,15247.42557
"3450","Kitsumkalum","Sockeye",1997,43775.1226025816,15900.88667
"3451","Kitsumkalum","Sockeye",1998,59531.174517053,16989.98849
"3453","Kitsumkalum","Sockeye",2000,31636.8260612449,24813.76231
"3454","Kitsumkalum","Sockeye",2001,26230.2522320956,20085.23147
"3455","Kitsumkalum","Sockeye",2002,30403.9454093749,27444.72463
"3456","Kitsumkalum","Sockeye",2003,34019.0652947577,49811.45164
"3457","Kitsumkalum","Sockeye",2004,33124.3984014791,24912.32609
"3458","Kitsumkalum","Sockeye",2005,48215.7185269811,16486.72955
"3459","Kitsumkalum","Sockeye",2006,55626.3611116942,19195.50347
"3460","Kitsumkalum","Sockeye",2007,54616.3263725038,17290.29439
"3464","Kitsumkalum","Sockeye",2011,31950.3162372804,34271.67239
"3465","Kitsumkalum","Sockeye",2012,31802.3941160003,41965.43453
"3485","Kitwanga","Sockeye",1960,933.094683469749,800
"3486","Kitwanga","Sockeye",1961,1443.38176280674,400
"3525","Kitwanga","Sockeye",2000,1956.71526205454,231
"3526","Kitwanga","Sockeye",2001,2059.33786792342,221
"3527","Kitwanga","Sockeye",2002,8203.74168621763,978
"3528","Kitwanga","Sockeye",2003,634.652172186465,3377
"3529","Kitwanga","Sockeye",2004,2283.53907231739,1317
"3530","Kitwanga","Sockeye",2005,5828.06416191598,937
"3531","Kitwanga","Sockeye",2006,23405.8723816149,5139
"3532","Kitwanga","Sockeye",2007,4062.27040786165,245
"3533","Kitwanga","Sockeye",2008,7160.81180985698,1200
"3534","Kitwanga","Sockeye",2009,2893.28481507368,3047
"3535","Kitwanga","Sockeye",2010,18925.6707910484,20804
"3536","Kitwanga","Sockeye",2011,4919.08002512207,2366
"3537","Kitwanga","Sockeye",2012,1350.46611547005,5476
"3538","Kitwanga","Sockeye",2013,493.718628848635,828
