stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,source,url,comments
129,Chum,Yukon-Chum,62.78,164.96,BS,AK,1974,2001,28,2068000,2812493.734,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and B. Borba. 2009. Escapement estimation, spawner-recruit analysis, and escapement goal recommendation for fall chum salmon in the Yukon River drainage. Technical report, Fishery Manuscript Series No. 09-08, Alaska Department of Fish and Game",NA,Fall Run
130,Chum,Anvik-Chum,62.78,164.96,BS,AK,1972,1993,22,1486182,2215845,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. and G. Sandone. 2001. Biological escapement goal for Anvik River chum salmon. Technical report, Regional InformationI Report No. 3AO1- 06, Alaska Department of Fish and Game",NA,
131,Chum,Andreafsky-Chum,62.78,164.96,BS,AK,1972,2001,30,271000,243988.47,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and D. Evenson. 2010. Run reconstruction, spawner-recruit analysis, and escapement goal recommendation for summer chum salmon in the east fork of the Andreafsky River. Technical report, Fishery Manuscript Series No. 10-04, Alaska Department of Fish and Game",NA,
132,Chum,Norton Sound-Chum,64.52,165.12,BS,AK,1974,1995,22,92107,112461,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001a. Biological escapement goal for chum salmon in subdistrict one of Norton Sound. Technical report, Regional Information Report No. 3AO1-09, Alaska Department of Fish and Game",NA,District 1
133,Chum,Kwiniuk Inlet-Chum,64.72,161.96,BS,AK,1965,1995,31,154910,216334,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001b. Biological escapement goals for Kwiniuk and Tubutulik chum salmon. Technical report, Regional Infomlation Report No. 3AOI-08, Alaska Department of Fish and Game",NA,Sum of Kwiniuk and Tubutulik Rivers
134,Chum,Kotzebue-Chum,66.46,161.91,BS,AK,1962,1997,36,1439252,1468511,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Eggers, D. and J. Clark. 2006. Assessment of historical runs and escapement goals for Kotzebue area chum salmon. Technical report, Fishery Manuscript No. 06-01, Alaska Department of Fish and Game ",NA,
135,Pink,Puyallup-Pink,47.26972,122.4272,WC,WA,1959,2007,25,417767,1324533,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
136,Pink,Hood Canal-Pink,47.5644,122.9956,WC,WA,1959,2007,25,503000,901536,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,"Sum of Dosewallips, Duckabush, and Hamma Hamma"
137,Pink,Snohomish-Pink,48.02139,122.2072,WC,WA,1959,2007,25,1392568,2403012,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
138,Pink,Dungeness-Pink,48.1508,123.1333,WC,WA,1959,2007,25,4.00E+05,638063,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
139,Pink,Stillaguamish-Pink,48.23861,122.3758,WC,WA,1959,2007,25,774279,2287066,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
140,Pink,Skagit-Pink,48.3875,122.3656,WC,WA,1959,2007,25,1190000,5008208,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
141,Pink,Nooksack-Pink,48.775,122.5978,WC,WA,1959,2007,25,226000,591699,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA",NA,
142,Pink,Fraser-Pink,49.12333,123.0569,WC,BC,1961,2001,21,19725000,2.60E+07,"PSC. 2012. Report of the Fraser River Panel to the Pacific Salmon Commission on the 2007 Fraser River Sockeye and Pink Salmon Fishing Season. Technical report, Pacific Salmon Commission, Vancouver, BC",NA,
143,Pink,BC South (no Fraser)-Even-Pink,50.28778,125.2008,WC,BC,1954,2008,28,5021355,7518783,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC",NA,Statistical Areas 11-16
144,Pink,BC South (no Fraser)-Odd-Pink,50.28778,125.2008,WC,BC,1953,2007,28,2166806,3695214,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC",NA,Statistical Areas 11-16
145,Pink,Area 10-Even-Pink,51.28722,127.6819,WC,BC,1980,2006,12,62200,223633,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
146,Pink,Area 10-Odd-Pink,51.28722,127.6819,WC,BC,1981,2007,11,101868,88510,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
147,Pink,Area 9-Even-Pink,51.46556,127.7422,WC,BC,1980,2008,15,1299772,1299772,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
148,Pink,Area 9-Odd-Pink,51.46556,127.7422,WC,BC,1981,2007,14,2097975,2097975,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
149,Pink,Area 8-Even-Pink,51.62194,127.8289,WC,BC,1980,2008,15,6223585,12795649,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
150,Pink,Area 8-Odd-Pink,51.62194,127.8289,WC,BC,1981,2007,14,5242503,6491320,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
151,Pink,Area 7-Even-Pink,52.12916,128.380149,WC,BC,1980,2008,15,591202,998136,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
152,Pink,Area 7-Odd-Pink,52.12916,128.380149,WC,BC,1981,2007,14,820377,1430120,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
153,Pink,Area 6-Even-Pink,53.08889,129.1992,WC,BC,1980,2008,15,2920975,10388250,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
154,Pink,Area 6-Odd-Pink,53.08889,129.1992,WC,BC,1981,2007,14,3041512,7453515,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
155,Pink,Area 5-Even-Pink,53.66302,130.423874,WC,BC,1982,2008,14,786316,1047999,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
156,Pink,Area 5-Odd-Pink,53.66302,130.423874,WC,BC,1983,2007,13,707232,909023,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
157,Pink,Area 4-Even-Pink,54.247243,130.477433,WC,BC,1982,2008,14,5658849,11614814,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
158,Pink,Area 4-Odd-Pink,54.247243,130.477433,WC,BC,1983,2007,13,7962665,28393718,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
159,Pink,Area 3-Even-Pink,54.676678,130.502152,WC,BC,1982,2008,14,1664252,2397739,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
160,Pink,Area 3-Odd-Pink,54.676678,130.502152,WC,BC,1983,2007,13,1853308,3513689,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
161,Pink,Area 2W-Pink,52.988408,132.411026,WC,BC,1980,2008,15,492497,996731,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
162,Pink,Area 2E-Even-Pink,53.0175,131.5778,WC,BC,1980,2008,15,1365470,1718543,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
163,Pink,Area 2E-Odd-Pink,53.0175,131.5778,WC,BC,1981,2007,13,480439,222150,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
164,Pink,Area 1-Pink,54.071771,132.204764,WC,BC,1980,2008,15,4437660,4947640,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,
165,Pink,S SEAK-Even-Pink,55.71556,131.8714,WC,AK,1960,2008,25,29750273,83426596,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,Districts 101-108
166,Pink,S SEAK-Odd-Pink,55.71556,131.8714,WC,AK,1961,2007,24,28189610,79477238,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,Districts 101-108
167,Pink,N SEAK Outside-Even-Pink,57.17694,135.7869,WC,AK,1960,2008,25,5741703,9561585,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 109-112, 114, 115"
168,Pink,N SEAK Outside-Odd-Pink,57.17694,135.7869,WC,AK,1961,2007,24,6271490,11292515,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 109-112, 114, 115"
169,Pink,N SEAK Inside-Even-Pink,57.57528,134.7503,WC,AK,1960,2008,25,16114790,51319856,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,District 113
170,Pink,N SEAK Inside-Odd-Pink,57.57528,134.7503,WC,AK,1961,2007,24,25094123,61411893,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,District 113
171,Pink,Situk-Even-Pink,59.43353,139.5467,WC,AK,1962,1990,12,525000,553506,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,
172,Pink,Situk-Odd-Pink,59.43353,139.5467,WC,AK,1965,1989,13,450000,482701,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,
173,Pink,Humpy-Even-Pink,59.6444,139.5844,WC,AK,1962,1992,12,69000,126575,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,
174,Pink,Humpy-Odd-Pink,59.6444,139.5844,WC,AK,1973,1991,10,225000,304130,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Clark, J. H. 1995. Biological escapement goals for even and odd-year pink salmon returning to the Situk River and to Humpy Creek near Yakutat Alaska. Alaska Department of Fish and Game, Regional Information Re- port No. 1J95-08 ",NA,
175,Pink,PWS-Even-Pink,60.5,147,GOA,AK,1960,2008,25,10234627,27866302,"Steve Moffitt, Alaska Department of Fish and Game (ADFG), Cordova, AK",NA,
176,Pink,PWS-Odd-Pink,60.5,147,GOA,AK,1961,2009,25,13578314,25874686,"Steve Moffitt, Alaska Department of Fish and Game (ADFG), Cordova, AK",NA,
177,Pink,S CIn-Even-Pink,59.52528,151.48,GOA,AK,1976,2008,17,144354,260200,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Humpy Creek, Seldovia Bay"
178,Pink,S CIn-Odd-Pink,59.52528,151.48,GOA,AK,1977,2009,17,243700,661500,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Humpy Creek, Seldovia Bay"
179,Pink,Outer CIn-Even-Pink,59.38389,150.7528,GOA,AK,1976,2008,17,469090,1529905,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Port Chatham, Port Dick, Rocky River, Windy Creek, South Nuka"
180,Pink,Outer CIn-Odd-Pink,59.38389,150.7528,GOA,AK,1977,2009,17,789129,2223900,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Port Chatham, Port Dick, Rocky River, Windy Creek, South Nuka"
181,Pink,Kamishak-Even-Pink,59.27,154.1175,GOA,AK,1976,2008,17,1719239,2162998,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Bruin River, Sunday Creek, Brown's Peak Creek"
182,Pink,Kamishak-Odd-Pink,59.27,154.1175,GOA,AK,1977,2009,17,1240152,1371879,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK",NA,"Sum of Bruin River, Sunday Creek, Brown's Peak Creek"
183,Pink,Afognak-Even-Pink,58.26222,152.5883,GOA,AK,1978,2008,16,1521470,3730000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
184,Pink,Afognak-Odd-Pink,58.26222,152.5883,GOA,AK,1979,2009,16,1886046,4921462,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
185,Pink,W Kod-Even-Pink,57.11389,154.4947,GOA,AK,1978,2008,16,9880208,23621882,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
186,Pink,W Kod-Odd-Pink,57.11389,154.4947,GOA,AK,1979,2009,16,8598000,23571000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
187,Pink,Alitak-Even-Pink,56.88528,154.1217,GOA,AK,1978,2008,16,3922000,5.00E+06,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
188,Pink,Alitak-Odd-Pink,56.88528,154.1217,GOA,AK,1979,2009,16,7592000,14652000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
189,Pink,E Kod-Even-Pink,57.089858,153.187928,GOA,AK,1978,2008,16,3717970,7197847,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
190,Pink,E Kod-Odd-Pink,57.089858,153.187928,GOA,AK,1979,2009,16,5426000,13951000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
191,Pink,Mainland Kod-Even-Pink,58.03333,154.6644,GOA,AK,1978,2008,16,1804000,3550000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
192,Pink,Mainland Kod-Odd-Pink,58.03333,154.6644,GOA,AK,1979,2009,16,7954000,7954000,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
193,Pink,Chignik Bay-Even-Pink,56.38528,158.2261,GOA,AK,1962,2008,22,81400,311600,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
194,Pink,Chignik Bay-Odd-Pink,56.38528,158.2261,GOA,AK,1963,2009,21,180500,313600,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
195,Pink,Central Chig-Even-Pink,56.59639,157.9933,GOA,AK,1962,2008,24,257000,534770,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
196,Pink,Central Chig-Odd-Pink,56.59639,157.9933,GOA,AK,1963,2009,24,715500,1198175,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
197,Pink,E Chig-Even-Pink,56.98528,156.5806,GOA,AK,1962,2008,24,1318100,2011766,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
198,Pink,E Chig-Odd-Pink,56.98528,156.5806,GOA,AK,1963,2009,24,1470200,1567638,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
199,Pink,W Chig-Even-Pink,56.06667,158.6756,GOA,AK,1962,2008,24,333400,1373782,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
200,Pink,W Chig-Odd-Pink,56.06667,158.6756,GOA,AK,1963,2009,24,554700,1346418,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
201,Pink,Perryville-Even-Pink,55.85417,159.3314,GOA,AK,1962,2008,24,395700,592547,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
202,Pink,Perryville-Odd-Pink,55.85417,159.3314,GOA,AK,1963,2009,24,582100,1480800,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,
203,Pink,SE-SC AKPen-Even-Pink,55.5,161,BS,AK,1962,2008,24,5969710,11076199,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southeastern and Southcentral Districts
204,Pink,SE-SC AKPen-Odd-Pink,55.5,161,BS,AK,1963,2009,24,4404450,15767364,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southeastern and Southcentral Districts
205,Pink,SW-Unimak-Even-Pink,54.5,163.5,BS,AK,1962,2008,24,2341700,5961135,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southwestern and Unimak Districts
206,Pink,SW-Unimak-Odd-Pink,54.5,163.5,BS,AK,1963,2009,24,2001850,6762894,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southwestern and Unimak Districts
207,Pink,NW AKPen-Even-Pink,54.982,163.37,BS,AK,1962,2008,23,216600,558182,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
208,Pink,NW AKPen-Odd-Pink,54.982,163.37,BS,AK,1963,2009,24,74400,349253,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,
209,Pink,Nushagak-Pink,58.62222,158.5911,BS,AK,1958,2002,23,9161784,13510120,NA,NA,
210,Pink,Unalakleet-Even-Pink,63.86944,160.7878,BS,AK,1970,2002,13,458387,637424,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,
211,Pink,Unalakleet-Odd-Pink,63.86944,160.7878,BS,AK,1973,2009,15,381150,406597,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,
212,Pink,Nome-Even-Pink,64.4828,165.305,BS,AK,1972,2008,19,2212155,2229337,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,
213,Pink,Nome-Odd-Pink,64.4828,165.305,BS,AK,1971,2009,20,920500,925575,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,
214,Pink,Moses-Norton-Even-Pink,65.748,161.78,BS,AK,1964,2008,23,1288531,1342124,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,Sum of Moses Point and Norton Bay Subdistricts
215,Pink,Moses-Norton-Odd-Pink,65.748,161.78,BS,AK,1963,2009,24,770401,774122,"Jenefer Bell, Alaska Department of Fish and Game (ADFG), Nome, AK; Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Technical report, Fishery Management Report No. 11-46, Alaska Department of Fish and Game",NA,Sum of Moses Point and Norton Bay Subdistricts
216,Chinook,Ayakulik-Chinook,57.1978276,-154.53849,GOA,AK,1977,2009,33,24425,31883,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak
Management Area, 2016 ",http://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2016-2017/kodiak/FMS16-09.pdf,NA
217,Chinook,Karluk-Chinook,57.563,-154.3843,GOA,AK,1976,2009,34,13742,19443,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak
Management Area, 2016 ",http://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2016-2017/kodiak/FMS16-09.pdf,NA
218,Chinook,Chignik-Chinook,56.2615981,-158.71224,GOA,AK,1980,2008,29,7633,12008,"Fishery Manuscript Series No. 15-02: Review of Salmon Escapement Goals in the Chignik
Management Area, 2015 ",http://www.adfg.alaska.gov/FedAidPDFs/FMS15-02.pdf,NA
219,Chinook,Nelson-Chinook,55.810523,-161.25646,GOA,AK,1981,1996,16,12561,11131,"Fishery Manuscript No. 06-03: Review of Salmon Escapement Goals in the Alaska
Peninsula and Aleutian Islands Management Areas
Report to the Alaska Board of Fisheries, 2004",http://www.sf.adfg.state.ak.us/FedAidPDFs/fms06-03.pdf,NA
220,Chinook,Goodnews-Chinook,59.15992,-160.6119,BS,AK,1981,2001,21,6027,9084,"Fishery Data Series No. 10-08: Goodnews River Salmon Monitoring and Assessment,
2008 ",http://www.adfg.alaska.gov/FedAidPDFs/FDS10-08.pdf,NA
221,Chinook,Andrew Creek-Chinook,56.63997,-132.2,GOA,AK,1979,2004,14,3068,3612,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
222,Chinook,Chickamin-Chinook,55.8174772,-130.93326,GOA,AK,1985,2004,20,8097,9337,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
223,Chinook,Chilkat-Chinook,59.3721353,-135.94325,GOA,AK,1991,1997,7,8100,12932,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
224,Chinook,King Salmon River-Chinook,58.0420026,-134.34145,GOA,AK,1982,2004,17,389,409,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
225,Chinook,Stikine-Chinook,56.6917175,-132.21863,GOA,AK,1977,1997,21,58962,110134,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
226,Chinook,Unuk-Chinook,56.0768125,-131.077,GOA,AK,1982,2004,21,10541,17147,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
227,Chinook,Alsek/Klukshu-Chinook,60.11632,-137.033,GOA,AK,1976,1990,15,3104,8320,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
228,Chinook,Situk-Chinook,59.4579521,-139.57143,GOA,AK,1977,1998,22,4330,16420,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
229,Chinook,Keta-Chinook,55.3360159,-130.47574,GOA,AK,1998,2004,7,1233,1233,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
230,Chinook,Blossom-Chinook,55.402008,-130.60741,GOA,AK,1998,2005,8,924,1626,"Special Publication No. 05-22: Stock Status and Escapement Goals for Salmon in
Southeast Alaska 2005: Chapter 1: Chinook Salmon Status and
Escapement Goals for Stocks in Southeast
Alaska",http://www.sf.adfg.state.ak.us/FedAidPDFs/sp05-22Chapter1.pdf,NA
231,Chinook,Kuskokwim-Chinook,60.0407,-162.4261,BS,AK,1985,2003,18,242616,502455,"Fishery Data Series No. 12-49: Estimates of the Historic Run and Escapement for the
Chinook Salmon Stock Returning to the Kuskokwim
River, 1976Ð2011",http://www.aykssi.org/wp-content/uploads/BUE-et-Al-2012-Kusko-Escapement-Goal-FDS12-49.pdf,NA
232,Chinook,Nushagak-Chinook,58.9061423,-157.73358,GOA,AK,1966,2005,40,331270,711779,"Fishery Manuscript Series No. 12-05: Stock Assessment of Chinook, Sockeye, and Chum
Salmon in the Nushagak River",http://www.adfg.alaska.gov/FedAidPDFs/FMS12-05.pdf,NA
